Month,EFPG_name,Unit_value_mean_wtd,Unit_value_se_wtd,Unit_value_mean_unwtd,Price_index_GEKS
11,"Dark green vegetables, frozen",0.38,0.0056,0.391,0.965473868
12,"Dark green vegetables, frozen",0.384,0.0067,0.398,0.970754561
1,"Dark green vegetables, frozen",0.498,0.0063,0.472,1.137922602
2,"Dark green vegetables, frozen",0.49,0.0088,0.482,1.129908469
3,"Dark green vegetables, frozen",0.477,0.0047,0.471,1.093750358
4,"Dark green vegetables, frozen",0.486,0.0032,0.475,1.098906596
5,"Dark green vegetables, frozen",0.473,0.0019,0.47,1.095015943
6,"Dark green vegetables, frozen",0.485,0.0025,0.477,1.111822578
7,"Dark green vegetables, frozen",0.488,0.0037,0.476,1.113927874
8,"Dark green vegetables, frozen",0.483,0.0037,0.47,1.112213691
9,"Dark green vegetables, frozen",0.489,0.0041,0.476,1.117659511
10,"Dark green vegetables, frozen",0.473,0.0046,0.459,1.078051838
11,"Dark green vegetables, frozen",0.469,0.0094,0.457,1.080807755
12,"Dark green vegetables, frozen",0.455,0.0105,0.46,1.097779374
1,"Dark green vegetables, frozen",0.507,0.0034,0.515,1.019168222
2,"Dark green vegetables, frozen",0.507,0.0039,0.517,1.055828723
3,"Dark green vegetables, frozen",0.489,0.003,0.503,1.000716758
4,"Dark green vegetables, frozen",0.499,0.0034,0.509,1.018543849
5,"Dark green vegetables, frozen",0.513,0.0045,0.529,1.053365867
6,"Dark green vegetables, frozen",0.502,0.0031,0.511,1.012231648
7,"Dark green vegetables, frozen",0.508,0.0042,0.521,1.066213739
8,"Dark green vegetables, frozen",0.497,0.0032,0.506,1.006136476
9,"Dark green vegetables, frozen",0.493,0.0025,0.497,1.003522469
10,"Dark green vegetables, frozen",0.491,0.0022,0.494,1.026324116
11,"Dark green vegetables, frozen",0.49,0.002,0.493,0.994960581
12,"Dark green vegetables, frozen",0.48,0.003,0.488,0.972901194
1,"Dark green vegetables, frozen",0.486,0.0083,0.431,1.093383318
2,"Dark green vegetables, frozen",0.48,0.0092,0.419,1.092399833
3,"Dark green vegetables, frozen",0.475,0.0092,0.412,1.065352145
4,"Dark green vegetables, frozen",0.478,0.0081,0.424,1.087768528
5,"Dark green vegetables, frozen",0.483,0.0094,0.428,1.151415318
6,"Dark green vegetables, frozen",0.482,0.0091,0.427,1.152289325
7,"Dark green vegetables, frozen",0.486,0.0067,0.448,1.154701183
8,"Dark green vegetables, frozen",0.476,0.0101,0.417,1.18069315
9,"Dark green vegetables, frozen",0.479,0.0082,0.428,1.143357755
10,"Dark green vegetables, frozen",0.487,0.0077,0.436,1.121453601
11,"Dark green vegetables, frozen",0.467,0.0049,0.446,1.041916746
12,"Dark green vegetables, frozen",0.477,0.0089,0.425,1.088972635
1,"Dark green vegetables, frozen",0.466,0.0067,0.439,1.056455443
2,"Dark green vegetables, frozen",0.457,0.0066,0.426,1.045632526
3,"Dark green vegetables, frozen",0.443,0.0057,0.415,1.021876553
4,"Dark green vegetables, frozen",0.445,0.0046,0.429,1.023274307
5,"Dark green vegetables, frozen",0.471,0.0075,0.439,1.092493684
6,"Dark green vegetables, frozen",0.481,0.0081,0.443,1.111790514
7,"Dark green vegetables, frozen",0.493,0.0083,0.461,1.141028142
8,"Dark green vegetables, frozen",0.476,0.0082,0.433,1.125193206
9,"Dark green vegetables, frozen",0.464,0.0065,0.436,1.075268823
10,"Dark green vegetables, frozen",0.454,0.0046,0.439,1.044513677
11,"Dark green vegetables, frozen",0.433,0.0027,0.435,1.001574728
12,"Dark green vegetables, frozen",0.448,0.0049,0.43,1.033571028
1,"Dark green vegetables, canned",0.225,0.0007,0.223,0.966343796
2,"Dark green vegetables, canned",0.227,0.0008,0.226,0.971215237
3,"Dark green vegetables, canned",0.221,0.0007,0.223,0.961229233
4,"Dark green vegetables, canned",0.225,0.0008,0.226,0.965630806
5,"Dark green vegetables, canned",0.233,0.0009,0.231,0.982501144
6,"Dark green vegetables, canned",0.236,0.0011,0.233,0.990676349
7,"Dark green vegetables, canned",0.233,0.0009,0.232,0.988493135
8,"Dark green vegetables, canned",0.231,0.001,0.23,0.979838747
9,"Dark green vegetables, canned",0.236,0.001,0.233,0.989021624
10,"Dark green vegetables, canned",0.239,0.0011,0.237,1.01099136
11,"Dark green vegetables, canned",0.228,0.0008,0.227,0.975014296
12,"Dark green vegetables, canned",0.229,0.0007,0.23,0.996351418
1,"Dark green vegetables, canned",0.242,0.0015,0.235,0.986885018
2,"Dark green vegetables, canned",0.244,0.0014,0.237,0.980640144
3,"Dark green vegetables, canned",0.244,0.0017,0.23,0.990214314
4,"Dark green vegetables, canned",0.246,0.002,0.239,0.995342832
5,"Dark green vegetables, canned",0.26,0.002,0.247,1.041487479
6,"Dark green vegetables, canned",0.262,0.0016,0.251,1.053610639
7,"Dark green vegetables, canned",0.256,0.0016,0.248,1.027428585
8,"Dark green vegetables, canned",0.264,0.0016,0.252,1.043774503
9,"Dark green vegetables, canned",0.256,0.0017,0.248,1.018919348
10,"Dark green vegetables, canned",0.265,0.0016,0.252,1.04461713
11,"Dark green vegetables, canned",0.242,0.0018,0.231,0.996105522
12,"Dark green vegetables, canned",0.249,0.0018,0.236,0.995288743
1,"Dark green vegetables, canned",0.221,0.0033,0.235,0.945777605
2,"Dark green vegetables, canned",0.218,0.0033,0.235,0.943161965
3,"Dark green vegetables, canned",0.217,0.0035,0.233,0.944340199
4,"Dark green vegetables, canned",0.218,0.0034,0.233,0.945018224
5,"Dark green vegetables, canned",0.221,0.0038,0.238,0.963681275
6,"Dark green vegetables, canned",0.22,0.0039,0.238,0.961044634
7,"Dark green vegetables, canned",0.219,0.0037,0.238,0.962072851
8,"Dark green vegetables, canned",0.217,0.0038,0.239,0.956608876
9,"Dark green vegetables, canned",0.218,0.0038,0.237,0.954884945
10,"Dark green vegetables, canned",0.219,0.004,0.239,0.979808843
11,"Dark green vegetables, canned",0.22,0.0031,0.233,0.966933638
12,"Dark green vegetables, canned",0.223,0.0032,0.238,0.981443287
1,"Dark green vegetables, canned",0.22,0.0004,0.215,0.958164431
2,"Dark green vegetables, canned",0.223,0.0004,0.218,0.971041146
3,"Dark green vegetables, canned",0.216,0.0004,0.216,0.956794981
4,"Dark green vegetables, canned",0.22,0.0005,0.218,0.954626636
5,"Dark green vegetables, canned",0.23,0.0005,0.224,0.972286048
6,"Dark green vegetables, canned",0.235,0.0006,0.226,0.983501229
7,"Dark green vegetables, canned",0.232,0.0005,0.225,0.983755754
8,"Dark green vegetables, canned",0.228,0.0006,0.223,0.970098422
9,"Dark green vegetables, canned",0.236,0.0006,0.227,0.984350667
10,"Dark green vegetables, canned",0.239,0.0006,0.231,1.003820009
11,"Dark green vegetables, canned",0.225,0.0006,0.221,0.961929015
12,"Dark green vegetables, canned",0.224,0.0006,0.224,0.98600693
1,"Dark green vegetables, canned",0.253,0.0012,0.247,0.985631963
2,"Dark green vegetables, canned",0.254,0.001,0.248,0.979252752
3,"Dark green vegetables, canned",0.249,0.0008,0.245,0.970674594
4,"Dark green vegetables, canned",0.255,0.0011,0.249,0.990635298
5,"Dark green vegetables, canned",0.257,0.0009,0.252,1.005529777
6,"Dark green vegetables, canned",0.258,0.0009,0.253,1.00509258
7,"Dark green vegetables, canned",0.256,0.0008,0.253,1.007775688
8,"Dark green vegetables, canned",0.256,0.0007,0.253,0.99829616
9,"Dark green vegetables, canned",0.257,0.0008,0.25,1.005198238
10,"Dark green vegetables, canned",0.264,0.0009,0.259,1.036960107
11,"Dark green vegetables, canned",0.254,0.0009,0.249,1.0238368
12,"Dark green vegetables, canned",0.265,0.0015,0.257,1.056284289
1,"Dark green vegetables, canned",0.209,0.0028,0.203,0.916099136
2,"Dark green vegetables, canned",0.215,0.0013,0.214,0.935706193
3,"Dark green vegetables, canned",0.218,0.0013,0.215,0.957984904
4,"Dark green vegetables, canned",0.225,0.0018,0.218,0.97341823
5,"Dark green vegetables, canned",0.228,0.0037,0.219,0.965280734
6,"Dark green vegetables, canned",0.235,0.0046,0.223,1.000498204
7,"Dark green vegetables, canned",0.234,0.0039,0.224,0.997815704
8,"Dark green vegetables, canned",0.226,0.004,0.215,0.959119665
9,"Dark green vegetables, canned",0.228,0.0046,0.214,0.957146369
10,"Dark green vegetables, canned",0.231,0.0041,0.218,0.979018922
11,"Dark green vegetables, canned",0.224,0.0046,0.211,0.938407188
12,"Dark green vegetables, canned",0.232,0.0034,0.223,0.995447278
1,"Dark green vegetables, canned",0.239,0.0027,0.231,1.007074893
2,"Dark green vegetables, canned",0.237,0.0022,0.231,0.995119701
3,"Dark green vegetables, canned",0.231,0.0027,0.224,0.996061541
4,"Dark green vegetables, canned",0.241,0.0025,0.234,1.017777478
5,"Dark green vegetables, canned",0.246,0.0023,0.239,1.021681606
6,"Dark green vegetables, canned",0.247,0.0015,0.247,1.046511583
7,"Dark green vegetables, canned",0.257,0.0022,0.256,1.07633403
8,"Dark green vegetables, canned",0.261,0.0018,0.26,1.066071205
9,"Dark green vegetables, canned",0.254,0.0015,0.252,1.002129539
10,"Dark green vegetables, canned",0.256,0.0014,0.257,1.048000466
11,"Dark green vegetables, canned",0.247,0.003,0.247,1.037254127
12,"Dark green vegetables, canned",0.262,0.0024,0.259,1.047158434
1,"Dark green vegetables, canned",0.207,0.0239,0.226,0.952596558
2,"Dark green vegetables, canned",0.206,0.0248,0.232,0.951511582
3,"Dark green vegetables, canned",0.202,0.0246,0.227,0.9442357
4,"Dark green vegetables, canned",0.204,0.0247,0.229,0.95026344
5,"Dark green vegetables, canned",0.208,0.0282,0.234,0.979092861
6,"Dark green vegetables, canned",0.207,0.0304,0.237,0.979053739
7,"Dark green vegetables, canned",0.206,0.0285,0.24,0.984872864
8,"Dark green vegetables, canned",0.205,0.0313,0.242,0.982662324
9,"Dark green vegetables, canned",0.209,0.03,0.239,0.982951041
10,"Dark green vegetables, canned",0.21,0.034,0.248,1.003284286
11,"Dark green vegetables, canned",0.215,0.022,0.229,0.988424497
12,"Dark green vegetables, canned",0.218,0.0253,0.238,1.006537847
1,"Dark green vegetables, canned",0.228,0.0008,0.223,0.954940017
2,"Dark green vegetables, canned",0.232,0.001,0.226,0.971021279
3,"Dark green vegetables, canned",0.231,0.0008,0.225,0.967560468
4,"Dark green vegetables, canned",0.226,0.0007,0.221,0.949955553
5,"Dark green vegetables, canned",0.233,0.0009,0.226,0.97231879
6,"Dark green vegetables, canned",0.231,0.0007,0.226,0.9695636
7,"Dark green vegetables, canned",0.231,0.001,0.226,0.975158744
8,"Dark green vegetables, canned",0.231,0.0008,0.225,0.96751254
9,"Dark green vegetables, canned",0.225,0.0009,0.219,0.944719317
10,"Dark green vegetables, canned",0.232,0.001,0.226,0.985798199
11,"Dark green vegetables, canned",0.221,0.0007,0.219,0.946628233
12,"Dark green vegetables, canned",0.236,0.0011,0.228,0.985951656
1,"Dark green vegetables, canned",0.249,0.0072,0.254,0.979323522
2,"Dark green vegetables, canned",0.244,0.0052,0.251,0.963980807
3,"Dark green vegetables, canned",0.247,0.007,0.251,0.987434909
4,"Dark green vegetables, canned",0.246,0.0087,0.251,0.98544083
5,"Dark green vegetables, canned",0.244,0.0093,0.245,0.974534715
6,"Dark green vegetables, canned",0.243,0.011,0.243,0.97441732
7,"Dark green vegetables, canned",0.243,0.0126,0.242,0.980675935
8,"Dark green vegetables, canned",0.234,0.0033,0.241,0.961449575
9,"Dark green vegetables, canned",0.24,0.0105,0.242,0.975476726
10,"Dark green vegetables, canned",0.231,0.014,0.242,1.006767699
11,"Dark green vegetables, canned",0.227,0.005,0.237,0.965901526
12,"Dark green vegetables, canned",0.224,0.0033,0.241,0.979008683
1,"Dark green vegetables, canned",0.23,0.0014,0.22,0.974333665
2,"Dark green vegetables, canned",0.233,0.0015,0.224,0.988240079
3,"Dark green vegetables, canned",0.233,0.0014,0.224,0.983859267
4,"Dark green vegetables, canned",0.231,0.0019,0.223,0.972242126
5,"Dark green vegetables, canned",0.238,0.0017,0.227,0.991545282
6,"Dark green vegetables, canned",0.236,0.0021,0.226,0.985982752
7,"Dark green vegetables, canned",0.238,0.0023,0.225,0.986001679
8,"Dark green vegetables, canned",0.234,0.0025,0.221,0.967617839
9,"Dark green vegetables, canned",0.226,0.0019,0.218,0.950970407
10,"Dark green vegetables, canned",0.238,0.0028,0.225,1.002119458
11,"Dark green vegetables, canned",0.224,0.0013,0.218,0.963586909
12,"Dark green vegetables, canned",0.236,0.0023,0.222,1.001947037
1,"Dark green vegetables, canned",0.263,0.0079,0.241,1.027000754
2,"Dark green vegetables, canned",0.261,0.0072,0.244,1.013181072
3,"Dark green vegetables, canned",0.25,0.0053,0.24,0.99689563
4,"Dark green vegetables, canned",0.259,0.0097,0.247,1.036461837
5,"Dark green vegetables, canned",0.255,0.005,0.247,1.041307553
6,"Dark green vegetables, canned",0.252,0.0036,0.247,1.036553117
7,"Dark green vegetables, canned",0.256,0.0047,0.249,1.053635072
8,"Dark green vegetables, canned",0.252,0.0031,0.247,1.030458903
9,"Dark green vegetables, canned",0.251,0.0042,0.243,1.02096493
10,"Dark green vegetables, canned",0.26,0.0054,0.25,1.074339858
11,"Dark green vegetables, canned",0.247,0.0029,0.238,1.031063504
12,"Dark green vegetables, canned",0.266,0.0089,0.245,1.082677455
1,"Dark green vegetables, canned",0.241,0.0023,0.241,1.021448396
2,"Dark green vegetables, canned",0.244,0.0018,0.241,1.017087735
3,"Dark green vegetables, canned",0.219,0.0011,0.235,0.961671139
4,"Dark green vegetables, canned",0.223,0.005,0.243,0.978756133
5,"Dark green vegetables, canned",0.232,0.0021,0.242,1.002058607
6,"Dark green vegetables, canned",0.244,0.0016,0.249,1.048060098
7,"Dark green vegetables, canned",0.239,0.0019,0.248,1.044610539
8,"Dark green vegetables, canned",0.221,0.0032,0.238,0.983320697
9,"Dark green vegetables, canned",0.242,0.0014,0.248,1.028475567
10,"Dark green vegetables, canned",0.247,0.0018,0.255,1.061775693
11,"Dark green vegetables, canned",0.221,0.0037,0.241,1.00032607
12,"Dark green vegetables, canned",0.223,0.0044,0.246,1.010856542
1,"Dark green vegetables, canned",0.271,0.0081,0.249,1.045251457
2,"Dark green vegetables, canned",0.286,0.0085,0.251,1.046922978
3,"Dark green vegetables, canned",0.286,0.0099,0.242,1.075972693
4,"Dark green vegetables, canned",0.298,0.0093,0.264,1.081262519
5,"Dark green vegetables, canned",0.305,0.0099,0.268,1.112811025
6,"Dark green vegetables, canned",0.306,0.0082,0.278,1.142820517
7,"Dark green vegetables, canned",0.285,0.0078,0.27,1.103190971
8,"Dark green vegetables, canned",0.308,0.0068,0.283,1.149614227
9,"Dark green vegetables, canned",0.295,0.0071,0.272,1.078502204
10,"Dark green vegetables, canned",0.311,0.0078,0.279,1.137415558
11,"Dark green vegetables, canned",0.279,0.008,0.25,1.085253503
12,"Dark green vegetables, canned",0.283,0.0098,0.252,1.045154348
1,"Dark green vegetables, canned",0.221,0.0014,0.228,0.995032271
2,"Dark green vegetables, canned",0.234,0.0017,0.233,0.9877791
3,"Dark green vegetables, canned",0.232,0.0016,0.228,0.997642701
4,"Dark green vegetables, canned",0.235,0.0022,0.238,0.994158715
5,"Dark green vegetables, canned",0.251,0.0045,0.244,1.044848711
6,"Dark green vegetables, canned",0.257,0.0042,0.246,1.054875685
7,"Dark green vegetables, canned",0.236,0.0035,0.238,1.010377045
8,"Dark green vegetables, canned",0.257,0.0041,0.246,1.05196824
9,"Dark green vegetables, canned",0.247,0.0056,0.242,1.010932407
10,"Dark green vegetables, canned",0.267,0.0061,0.25,1.07863658
11,"Dark green vegetables, canned",0.237,0.0044,0.223,0.985533352
12,"Dark green vegetables, canned",0.233,0.0035,0.225,0.976421924
1,"Beans, lentils, and peas, fresh/dried",0.323,0.0022,0.338,1.0057052
2,"Beans, lentils, and peas, fresh/dried",0.32,0.0025,0.335,1.00469857
3,"Beans, lentils, and peas, fresh/dried",0.312,0.0034,0.333,0.981806161
4,"Beans, lentils, and peas, fresh/dried",0.311,0.003,0.33,0.976586344
5,"Beans, lentils, and peas, fresh/dried",0.312,0.0031,0.328,0.988792338
6,"Beans, lentils, and peas, fresh/dried",0.319,0.0025,0.331,1.009256359
7,"Beans, lentils, and peas, fresh/dried",0.312,0.0033,0.328,0.993948844
8,"Beans, lentils, and peas, fresh/dried",0.308,0.0034,0.327,0.98624002
9,"Beans, lentils, and peas, fresh/dried",0.31,0.0027,0.323,0.977478243
10,"Beans, lentils, and peas, fresh/dried",0.31,0.0028,0.325,0.979848964
11,"Beans, lentils, and peas, fresh/dried",0.316,0.0027,0.325,0.988574123
12,"Beans, lentils, and peas, fresh/dried",0.32,0.003,0.334,0.984327723
1,"Beans, lentils, and peas, fresh/dried",0.366,0.002,0.359,1.063554051
2,"Beans, lentils, and peas, fresh/dried",0.361,0.002,0.358,1.054735371
3,"Beans, lentils, and peas, fresh/dried",0.365,0.0017,0.363,1.045852197
4,"Beans, lentils, and peas, fresh/dried",0.346,0.0024,0.355,1.020391272
5,"Beans, lentils, and peas, fresh/dried",0.373,0.0022,0.368,1.043717473
6,"Beans, lentils, and peas, fresh/dried",0.372,0.0024,0.369,1.066790243
7,"Beans, lentils, and peas, fresh/dried",0.371,0.002,0.367,1.028151251
8,"Beans, lentils, and peas, fresh/dried",0.37,0.0024,0.366,1.02091865
9,"Beans, lentils, and peas, fresh/dried",0.365,0.0026,0.357,1.04505873
10,"Beans, lentils, and peas, fresh/dried",0.358,0.0019,0.355,1.041151024
11,"Beans, lentils, and peas, fresh/dried",0.358,0.0025,0.351,1.041505944
12,"Beans, lentils, and peas, fresh/dried",0.356,0.002,0.352,1.031106469
1,"Beans, lentils, and peas, fresh/dried",0.326,0.0025,0.34,1.022318988
2,"Beans, lentils, and peas, fresh/dried",0.323,0.0027,0.342,1.019935087
3,"Beans, lentils, and peas, fresh/dried",0.32,0.0026,0.342,1.000015681
4,"Beans, lentils, and peas, fresh/dried",0.321,0.0025,0.339,1.004086094
5,"Beans, lentils, and peas, fresh/dried",0.319,0.003,0.342,1.005591563
6,"Beans, lentils, and peas, fresh/dried",0.319,0.0032,0.342,1.011193831
7,"Beans, lentils, and peas, fresh/dried",0.318,0.0033,0.339,1.01006747
8,"Beans, lentils, and peas, fresh/dried",0.317,0.003,0.337,0.99875834
9,"Beans, lentils, and peas, fresh/dried",0.316,0.0026,0.336,0.99496163
10,"Beans, lentils, and peas, fresh/dried",0.316,0.0024,0.334,0.997103419
11,"Beans, lentils, and peas, fresh/dried",0.317,0.0022,0.333,0.997494237
12,"Beans, lentils, and peas, fresh/dried",0.321,0.002,0.335,0.999215523
1,"Beans, lentils, and peas, fresh/dried",0.329,0.0008,0.338,1.019348788
2,"Beans, lentils, and peas, fresh/dried",0.326,0.0009,0.334,1.017610714
3,"Beans, lentils, and peas, fresh/dried",0.324,0.001,0.334,1.018650436
4,"Beans, lentils, and peas, fresh/dried",0.323,0.001,0.331,1.003540401
5,"Beans, lentils, and peas, fresh/dried",0.321,0.0009,0.329,1.01706394
6,"Beans, lentils, and peas, fresh/dried",0.328,0.001,0.334,1.033631667
7,"Beans, lentils, and peas, fresh/dried",0.327,0.001,0.331,1.021108046
8,"Beans, lentils, and peas, fresh/dried",0.322,0.0008,0.328,1.012609617
9,"Beans, lentils, and peas, fresh/dried",0.317,0.0013,0.323,1.000120964
10,"Beans, lentils, and peas, fresh/dried",0.319,0.0008,0.324,1.011760094
11,"Beans, lentils, and peas, fresh/dried",0.324,0.0009,0.326,1.02499771
12,"Beans, lentils, and peas, fresh/dried",0.34,0.001,0.342,1.02071159
1,"Beans, lentils, and peas, fresh/dried",0.288,0.0051,0.322,0.995502942
2,"Beans, lentils, and peas, fresh/dried",0.289,0.0058,0.322,1.002051218
3,"Beans, lentils, and peas, fresh/dried",0.267,0.0075,0.311,0.945817535
4,"Beans, lentils, and peas, fresh/dried",0.274,0.0067,0.31,0.959333985
5,"Beans, lentils, and peas, fresh/dried",0.267,0.0064,0.301,0.955523573
6,"Beans, lentils, and peas, fresh/dried",0.279,0.0054,0.305,0.984010982
7,"Beans, lentils, and peas, fresh/dried",0.263,0.0065,0.301,0.956498302
8,"Beans, lentils, and peas, fresh/dried",0.26,0.0067,0.303,0.956127233
9,"Beans, lentils, and peas, fresh/dried",0.269,0.0059,0.302,0.956272915
10,"Beans, lentils, and peas, fresh/dried",0.27,0.0062,0.305,0.963069427
11,"Beans, lentils, and peas, fresh/dried",0.277,0.0056,0.306,0.974169517
12,"Beans, lentils, and peas, fresh/dried",0.273,0.0066,0.308,0.964774157
1,"Beans, lentils, and peas, fresh/dried",0.358,0.0108,0.341,1.04766748
2,"Beans, lentils, and peas, fresh/dried",0.355,0.0111,0.339,1.043972325
3,"Beans, lentils, and peas, fresh/dried",0.349,0.0092,0.338,1.049964889
4,"Beans, lentils, and peas, fresh/dried",0.348,0.0075,0.337,1.038214988
5,"Beans, lentils, and peas, fresh/dried",0.346,0.0074,0.333,1.022467109
6,"Beans, lentils, and peas, fresh/dried",0.345,0.0068,0.336,1.036259312
7,"Beans, lentils, and peas, fresh/dried",0.345,0.0063,0.336,1.034173478
8,"Beans, lentils, and peas, fresh/dried",0.34,0.0054,0.334,1.023095536
9,"Beans, lentils, and peas, fresh/dried",0.335,0.0051,0.332,1.022938723
10,"Beans, lentils, and peas, fresh/dried",0.335,0.0044,0.33,1.01521803
11,"Beans, lentils, and peas, fresh/dried",0.334,0.0048,0.327,1.030371008
12,"Beans, lentils, and peas, fresh/dried",0.371,0.0074,0.361,1.051490134
1,"Beans, lentils, and peas, fresh/dried",0.369,0.003,0.363,1.089665444
2,"Beans, lentils, and peas, fresh/dried",0.372,0.0037,0.364,1.099622761
3,"Beans, lentils, and peas, fresh/dried",0.376,0.0032,0.367,1.033707458
4,"Beans, lentils, and peas, fresh/dried",0.375,0.0041,0.364,1.04760761
5,"Beans, lentils, and peas, fresh/dried",0.387,0.0056,0.372,1.053976117
6,"Beans, lentils, and peas, fresh/dried",0.389,0.0058,0.373,1.052532072
7,"Beans, lentils, and peas, fresh/dried",0.382,0.0041,0.37,1.053408016
8,"Beans, lentils, and peas, fresh/dried",0.384,0.0049,0.37,1.048124304
9,"Beans, lentils, and peas, fresh/dried",0.371,0.0044,0.362,1.015884984
10,"Beans, lentils, and peas, fresh/dried",0.369,0.0028,0.362,1.020090151
11,"Beans, lentils, and peas, fresh/dried",0.357,0.0014,0.356,0.994500891
12,"Beans, lentils, and peas, fresh/dried",0.367,0.0021,0.361,1.004536663
1,"Beans, lentils, and peas, fresh/dried",0.306,0.0069,0.348,0.992836668
2,"Beans, lentils, and peas, fresh/dried",0.309,0.0083,0.349,0.993383499
3,"Beans, lentils, and peas, fresh/dried",0.302,0.0067,0.345,0.936545687
4,"Beans, lentils, and peas, fresh/dried",0.302,0.0074,0.347,0.952986631
5,"Beans, lentils, and peas, fresh/dried",0.312,0.0107,0.364,0.955466476
6,"Beans, lentils, and peas, fresh/dried",0.311,0.0102,0.353,0.979742878
7,"Beans, lentils, and peas, fresh/dried",0.306,0.0108,0.347,0.974020813
8,"Beans, lentils, and peas, fresh/dried",0.304,0.0094,0.34,0.957856684
9,"Beans, lentils, and peas, fresh/dried",0.302,0.0076,0.337,0.941080086
10,"Beans, lentils, and peas, fresh/dried",0.302,0.0072,0.337,0.95293218
11,"Beans, lentils, and peas, fresh/dried",0.301,0.0057,0.333,0.954784114
12,"Beans, lentils, and peas, fresh/dried",0.303,0.0043,0.332,0.956147191
1,"Beans, lentils, and peas, fresh/dried",0.3,0.0026,0.301,0.959690539
2,"Beans, lentils, and peas, fresh/dried",0.307,0.0029,0.303,0.998202252
3,"Beans, lentils, and peas, fresh/dried",0.303,0.0034,0.299,0.988265445
4,"Beans, lentils, and peas, fresh/dried",0.298,0.0035,0.294,0.966922254
5,"Beans, lentils, and peas, fresh/dried",0.294,0.0029,0.291,0.969333263
6,"Beans, lentils, and peas, fresh/dried",0.301,0.0038,0.296,0.997800198
7,"Beans, lentils, and peas, fresh/dried",0.303,0.0036,0.297,0.990046863
8,"Beans, lentils, and peas, fresh/dried",0.295,0.0018,0.29,0.964680286
9,"Beans, lentils, and peas, fresh/dried",0.282,0.0023,0.28,0.949511845
10,"Beans, lentils, and peas, fresh/dried",0.293,0.0014,0.29,0.972153937
11,"Beans, lentils, and peas, fresh/dried",0.296,0.0018,0.292,0.979467953
12,"Beans, lentils, and peas, fresh/dried",0.323,0.0017,0.314,0.957297086
1,"Beans, lentils, and peas, fresh/dried",0.355,0.0052,0.35,0.988414647
2,"Beans, lentils, and peas, fresh/dried",0.351,0.0039,0.344,0.986611464
3,"Beans, lentils, and peas, fresh/dried",0.346,0.0034,0.34,0.9753269
4,"Beans, lentils, and peas, fresh/dried",0.34,0.0044,0.329,0.957135613
5,"Beans, lentils, and peas, fresh/dried",0.346,0.0118,0.332,0.957746355
6,"Beans, lentils, and peas, fresh/dried",0.344,0.0051,0.338,0.971223487
7,"Beans, lentils, and peas, fresh/dried",0.352,0.0076,0.34,0.983020666
8,"Beans, lentils, and peas, fresh/dried",0.346,0.0086,0.34,0.979801113
9,"Beans, lentils, and peas, fresh/dried",0.342,0.0043,0.341,0.972173251
10,"Beans, lentils, and peas, fresh/dried",0.339,0.0074,0.337,0.977261767
11,"Beans, lentils, and peas, fresh/dried",0.34,0.0075,0.333,0.971422535
12,"Beans, lentils, and peas, fresh/dried",0.338,0.0074,0.335,0.976062168
1,"Beans, lentils, and peas, fresh/dried",0.326,0.0028,0.326,0.976308155
2,"Beans, lentils, and peas, fresh/dried",0.319,0.0037,0.311,0.997184937
3,"Beans, lentils, and peas, fresh/dried",0.318,0.004,0.308,0.990029309
4,"Beans, lentils, and peas, fresh/dried",0.32,0.0048,0.305,0.978550107
5,"Beans, lentils, and peas, fresh/dried",0.309,0.0033,0.298,0.966495282
6,"Beans, lentils, and peas, fresh/dried",0.32,0.0044,0.306,0.996594367
7,"Beans, lentils, and peas, fresh/dried",0.327,0.0051,0.308,0.997922056
8,"Beans, lentils, and peas, fresh/dried",0.308,0.0034,0.299,0.975992722
9,"Beans, lentils, and peas, fresh/dried",0.284,0.0067,0.28,0.941944127
10,"Beans, lentils, and peas, fresh/dried",0.305,0.0028,0.298,0.969056556
11,"Beans, lentils, and peas, fresh/dried",0.31,0.0028,0.301,0.976812674
12,"Beans, lentils, and peas, fresh/dried",0.329,0.0046,0.318,0.971594646
1,"Beans, lentils, and peas, fresh/dried",0.346,0.009,0.341,1.034555453
2,"Beans, lentils, and peas, fresh/dried",0.35,0.0129,0.336,1.053745819
3,"Beans, lentils, and peas, fresh/dried",0.345,0.0159,0.326,1.036102208
4,"Beans, lentils, and peas, fresh/dried",0.347,0.0157,0.32,1.014866224
5,"Beans, lentils, and peas, fresh/dried",0.34,0.0197,0.308,1.015801996
6,"Beans, lentils, and peas, fresh/dried",0.341,0.0187,0.311,1.02009019
7,"Beans, lentils, and peas, fresh/dried",0.345,0.0215,0.312,1.03435672
8,"Beans, lentils, and peas, fresh/dried",0.34,0.0149,0.316,1.032689481
9,"Beans, lentils, and peas, fresh/dried",0.336,0.02,0.304,1.022050967
10,"Beans, lentils, and peas, fresh/dried",0.341,0.0191,0.309,1.036000097
11,"Beans, lentils, and peas, fresh/dried",0.333,0.0126,0.301,1.004443591
12,"Beans, lentils, and peas, fresh/dried",0.342,0.0119,0.312,1.017083428
1,"Beans, lentils, and peas, fresh/dried",0.348,0.0053,0.379,0.905128941
2,"Beans, lentils, and peas, fresh/dried",0.345,0.005,0.373,0.909339553
3,"Beans, lentils, and peas, fresh/dried",0.341,0.0027,0.377,0.925211599
4,"Beans, lentils, and peas, fresh/dried",0.352,0.0029,0.372,0.937491867
5,"Beans, lentils, and peas, fresh/dried",0.351,0.0032,0.367,0.957022158
